och;and
komplex;complex (loan word)
skadad;1. hurt- injured- 2. damaged- faulty- defective
en begäran;1. a request- 2. an application- 3. a demand- 4. a petition- 5. [på egen ~] at (one's own) request
en arena;an arena (loan word)
en kust;1. a coast (by the water)- 2. [~en är klar] (idiom) the coast is clear
ett åtal;1. a prosecution- an indictment- 2. a legal action- 3. [att väcka ~ mot någon för något] to start legal proceedings
en dimension;a dimension (loan word)
internationellt;internationally (loan word)
nationellt;nationally (loan word)
en hållning;1. a posture- i.e. how you hold yourself- 2. an attitude- 3. a behaviour- i.e. how you conduct yourself
en gen;a gene (loan word)
ett lugn;1. a calm- 2. [i ~ och ro] in peace and quiet
att döpa;1. to baptize- to christen- 2. to name- to give a nickname to someone
en fantasi;1. an imagination- 2. a fantasy- a fancy- 3. [~ och verklighet] fact and fiction (loan word)
en spets;1. a pointed tip of something- e.g. a knife- a pencil etc.- 2. a pen nib- 3. a mountain peak
att avsätta;1. to allocate- 2. to dismiss (from job)- 3. to deposit- 4. to degrade- 5. to sell- 6. to set off (begin journey)
en fundering;a thought (formal- usually used in plural)
att kombinera;to combine (loan word)
att yttra;1. to utter- to say- to comment- 2. to express- 3. [att ~ sig] a) to express one's opinion on sth.- to comment on sth.- b) to manifest itself
en minskning;a decrease
en axel;a shoulder
att försämra;to worsen- to make worse
en motor;1. a motor- an engine- 2. [att slå av ~n] to switch off the engine
i och med;as a result of- since
en konstruktion;1. a construction- a construct- a design- 2. an invention- a device (loan word)
ett arkiv;an archive (loan word)
ett äventyr;an adventure (loan word)
oj;1. oh- oh dear!- 2. wow!- my!- 3. ow!
Sverige;Sweden
en humor;1. a sense of humour- 2. [han har ingen ~] he has no sense of humour
en like;an equal
en paragraf;1. a section- 2. a paragraph- an article- a clause in a legal text (loan word)
att odla;to cultivate- to grow
ett erbjudande;an offer
att vidga;1. to widen- to expand- to broaden- 2. [att ~ sina vyer] to broaden one’s perspectives- to widen one’s horizons- 3. [att ~ sig] to dilate- to widen- to expand
en volym;a volume
att motsätta sig;to oppose sth.- to be against sth.- to object to sth.
ett missbruk;an abuse- an addiction
att utvidga;1. to expand (a business)- 2. to extend- make bigger (a building)- 3. [vi har ~t sortimentet] we have extended our product range
snarast;1. best- preferably- instead- 2. as soon as possible
en uppmaning;1. an invitation- 2. an urgent request- 3. [på hennes ~] at her insistence
en kram;1. a hug- an embrace- 2. [puss och ~] hugs and kisses
att intervjua;to interview (loan word)
ett livsmedel;1. (a) groceries- 2. [~sbutik nära mig] grocery store near me
en anklagelse;an accusation- a charge (legal term)
att cykla;to cycle
en samordning;a co-ordination (not a loan word)
dessvärre;unfortunately (not: "tyvärr")
oklar;unclear
en företeelse;1. an occurrence- 2. a phenomenon- 3. a fact- 4. [en vanlig ~] a common occurrence- 5. [en sällsynt ~] a rare phenomenon- a rare occurrence
att offra;1. to sacrifice- 2. [att ~ sig] to sacrifice oneself
ett lager;1. a stock- a store- a warehouse- 2. a layer- a coat- a stratum- 3. (plant) a laurel- 4. [så länge ~ret räcker] while stocks last
ett arbetsliv;a working life
lysande;bright- brilliant (in literal and metaphorical sense)
ett bränsle;a fuel
en finanskris;a financial crisis (loan word)
nödvändigtvis;necessarily
gott om;plenty of
en medeltid;(a) Middle Ages
en strävan;1. a striving- an aspiration- an ambition- 2. an effort- an endeavour- 3. a tendency
en hastighet;a speed
en kö;1. a queue- a line- 2. [att sitta i bil~] to be stuck in a traffic jam- 3. a billiard cue
ett medvetande;1. a consciousness (i.e. being awake)- 2. [att förlora ~ ] to lose consciousness- 2. an awareness of sth.
en producent;a producer (loan word)
så pass;1. about so- that- 2. [men ~ mycket kan jag säga dig] but this much I can tell you
ett vetande;1. a knowing- a knowledge- 2. a judgement- 3. a learning- 4. [mot bättre ~] against (my- his- her- our etc.) better judgement
i mitten av;in the middle of
dylik;1. suchlike- the like- that sort of thing- 2. [eller ~t] etcetera- and so on- or suchlike- 3. [och ~t] and the like
en atmosfär;an atmosphere (loan word)
en mall;a template
en personlighet;a personality (loan word)
en gren;1. a (tree) branch (in literal and figurative sense)- 2. a limb- a bough- a twig
väldig;immense- enormous (not a loan word)
effektivt;effectively (loan word)
vanligen;usually (ends with "-en")
ett koncept;1. a draft- an outline- 2. a concept- an idea (loan word)
välkänd;well-known
en förebild;a role model- someone worth emulating
uppenbart;obviously (ends with "t")
ett recept;1. a prescription (medical)- a recipe (cooking)- 3. a method- a formula
en föreläsning;a lecture- a talk
en antisemitism;an anti-semitism (loan word)
geografisk;geographical (loan word)
grafisk;graphic (loan word)
en upplysning;1. (a) lighting- an illumination- 2. (an) information- an explanation- instructions- 3. enlightenment- the Enlightenment (historical period)
en general;a general (loan word)
en administration;an administration (loan word)
ett bröst;a breast
tills;until- till
ett patent;a patent (loan word)
en befogenhet;(an) authority (in sense of power- or right to do sth.)
skarp;sharp
islamisk;Islamic (loan word)
att installera;to install (loan word)
att utge;1. to publish- to bring out- 2. (reflexive) to pass oneself as sth.
en förberedelse;a preparation
en fördom;a prejudice
synnerligen;particularly- extremely
i närheten av;in the vicinity of- near to
ett åtagande;an obligation- an undertaking
att tillkännage;to announce (not a loan word)
ett kaos;a chaos (loan word)
en mästare;a master- a champion
att utmana;to challenge- to dare
en drift;1. an operation- a management- 2. an instinct- an urge
ett hundratal;1. a hundred- about a hundred- 2. [efter ett ~ meter] after about a hundred metres
en måne;a moon
att bita;to bite
blandad;mixed
en hjälte;a hero
att skänka;1. to give- to donate- 2. [att ~ bort] to give away
tillämplig;applicable
betydelsefull;significant- important- full of meaning
ett synsätt;1. a way of seeing things- an approach- 2. [ett ~ på livet] an approach to life- a way of looking at life
en ström;1. a current (water- electricity)- 2. a stream (water- also figurative)
att förse;1. to equip- 2. to provide
en mätning;a measurement- a measuring
massiv;1. solid (wood)- 2. massive (loan word)
ett ideal;an ideal (loan word)
vice;1. vice- deputy- 2. [~ statsminister] deputy prime minister
en hantering;a management- managing- a handling
en målsättning;an objective- a goal (figurative)
att begripa;1. to grasp- to understand- 2. [att ~ sig på] to understand (people)
ett upphov;1. an origin- a source- 2. a cause- 3. a beginning- 4. an idea- 5. [att ge ~ till] to give rise to- to cause sth.
att kränka;1. to insult- offend- hurt- 2. to violate- infringe (e.g. a law)
i morse;this morning (used when the morning is over- from after noon onwards)
en hals;1. a neck- a throat- 2. [jag har ont i ~en] I have a sore throat
en mån;1. a degree- a measure- an extent- 2. [i viss ~] to a certain extent- 3. [i ~ av utrymme] as far as space allows- space permitting
en stam;1. a stem- a tree trunk- a log- 2. family- lineage- tribe- 3. a counterfoil- stub
en journalistik;a journalism (loan word)
en intäkt;a revenue
mjuk;soft
en bruttonationalprodukt;a gross national product (loan word)
grå;gray
en profil;1. a profile- 2. [att hålla en låg ~] to keep a low profile (loan word)
att krossa;to crush
en partiledare;a leader of a political party
en centimeter;a centimeter (loan word)
att övertyga;to convince s.o.
romersk;Roman
att sörja;to mourn- to grieve
att inspirera;to inspire (loan word)
en övertygelse;a conviction- sth. you are convinced of
en graf;a graph (loan word)
ett slott;a castle
ett anspråk;1. a claim- a demand- 2. [att ta i ~] to make demands on (e.g. one's time)- 4. [som tar tio av dagens timmar i ~] which takes up ten hours of every workday
en motsättning;1. an opposition- 2. an antagonism- 3. a divergence- a difference
ett byte;1. an exchange- a barter- a substitution- 2. booty- loot- prey- a haul- 3.  a byte (computing)
en logik;a logic (loan word)
att resonera;1. to discuss- to talk- 2. to argue- to reason (loan word)
ett tempel;a temple (loan word)
en krönika;1. an opinion piece- a commentary on sth. (in education- print media)
att tillbringa;to spend (time)
en kopia;a copy (loan word)
en instans;an authority- a higher court- an instance (loan word)
en företagare;a company owner
ett medlemskap;a membership
egentlig;1. real- actual- virtual- true- 2. proper- 3. [i ordets ~a bemärkelse] in the true sense of the word
en landsbygd;a countryside- country (as in "town or country")
en integration;an integration (loan word)
en gest;a gesture (loan word)
tyst;quietly
att längta;1. to long- to yearn for sth.- 2. [att ~ efter någon] to miss someone
en föreskrift;1. a regulation- an instruction- 2. a prescription- a command- an order
generellt;generally (loan word)
ett konto;an account (loan word)
ju;the more (combined with "desto")
tämligen;fairly
gigantisk;gigantic (loan word)
en väntan;1. a wait- waiting- 2. an expectation- 3. a suspense- 4. [i ~ på] while waiting for
en turnering;a tournament (loan word)
en uppvärmning;1. a warm-up (sport)- 2. a heating system (e.g. in a house)
ett djup;a depth
en praxis;1. a custom- a practice (in the sense of a tradition)- 2. [enligt allmän ~ ] according to common custom (loan word)
okej;okay (loan word)
maximal;maximal (loan word)
en konstitution;1. a constitution (not in legal sense)- 2. a state of health (loan word)
otrolig;unbelievable- incredible
fruktansvärd;terrible (not: "hemsk")
att straffa;to punish
sådär;1. so-so- not too good- 2. like that- 3. [hur mår du? - ~] how are you? - not too good
en nödvändighet;a necessity
ett medlemsland;a member country
en översyn;an overhaul- a revision
blind;blind
en front;a front- can be used in figurative and military sense (loan word)
att fördöma;to condemn- to speak out against
synlig;1. visible- 2. [inga ~a skådor] no visible injuries
fint;1. lovely- nice (often used in spoken Swedish) 2. [det skulle sitta ~] that would be lovely!
en skapelse;a creation
att rasa;1. to collapse- to fall apart- to fall to pieces- 2. [hela hennes värld ~de samman] her whole world fell apart
verksam;1. effective- 2. active- in operation- working- 3. [han var under många år ~ i Hamburg] he worked in Hamburg for many years (not a loan word)
att avlida;to die- to pass away- to decease
näst;1. next- 2. [~ intill] close- near- 3. [~ sista plats] second to last- last but one- 4. [~ största staden] the second biggest city
ett utbud;1. a range (of goods offered)- 2. a supply- 3. a choice- selection- 4. [~ och efterfrågan] supply and demand
en opinion;1. a public opinion- 2. [~en har svängt] public opinion has shifted (loan word)
att värdera;1. to value sth.- to appreciate sth. (find it important or useful)- 2. to evaluate- to assess
allvarligt;seriously
formell;1. formal- 2. [~ klädsel] formal clothing (loan word)
dagligen;daily
ursprungligen;originally
vidare;wider- broader- further- farther
att fördela;to distribute (not a loan word)
ovanligt;unusually
att reducera;to reduce (loan word)
vanligt;1. usually- 2. [som ~] as usual
ett skadestånd;1. (a) damages- 2. [att begära ~ av någon] to sue someone for damages
att kopiera;1. to copy (something with a photocopier)- 2. to transcribe- 3. to print (loan word)
en övergång;a transition
en anhörig;a relative- a relation- a family member- next-of-kin
en ångest;an anxiety
en vakt;1. a watch- a guard- 2. [barn~] babysitter- 3. [en ~hund] a watchdog- a guard dog
att förhandla;to negotiate
att koncentrera;to concentrate (loan word)
en tabell;a table- as in diagram- chart etc. (loan word)
en önskan;a wish
en konsert;a concert (loan word)
en teckning;1. a drawing- a sketch- 2. (in abstract sense) a depiction- a description- 3. (school) art- art education- 4. marking (on animal)
vem som helst;anybody- anyone- whoever- whomever
att förverkliga;to realize- to make real
en prioritering;a prioritising (loan word)
att vistas;1. to stay- 2. to reside- to live in a country for a long period (formal)
regelbundet;regularly
en depression;1. a depression- can be mental or economic (loan word)
en effektivitet;an efficiency- an effectiveness- an efficacy (loan word)
inne;indoor(s)- inside
likväl;yet- nevertheless
en blandning;a mixture- a mix- a blend
att datera;to determine the age of something- to date something (loan word)
en final;a final (loan word)
tjock;thick- fat
att erövra;to conquer- capture- win
en höger;1. a right- a right-hand direction- 2. a right-wing- conservative political party- 3. a right hook- a right-hand punch
